MovieID,Title,Year,Genres,ImdbID,Rating,Raters
193579,Jon Stewart Has Left the Building,2015,Documentary,5342766,3.5,1
176389,The Nut Job 2: Nutty by Nature,2017,Adventure|Animation|Children|Comedy,3486626,2,1
98491,Paperman,2012,Animation|Comedy|Romance,2388725,4.375,8
46559,"Road to Guantanamo, The",2006,Drama|War,468094,3.5,1
46850,Wordplay,2006,Documentary,492506,4,3
47610,"Illusionist, The",2006,Drama|Fantasy|Mystery|Romance,443543,3.77907,43
47774,"Icicle Thief, The (Ladri di saponette)",1989,Comedy|Fantasy,97702,3,1
8861,Resident Evil: Apocalypse,2004,Action|Horror|Sci-Fi|Thriller,318627,2.92857,14
47810,"Wicker Man, The",2006,Horror|Mystery|Thriller,450345,1,4
47952,"Covenant, The",2006,Action|Horror|Thriller,475944,3,1
47970,"Last Kiss, The",2006,Comedy|Drama,434139,3.83333,3
48322,Jackass Number Two,2006,Comedy|Documentary,493430,3.57143,7
48326,All the King's Men,2006,Drama,405676,3,3
48416,School for Scoundrels,2006,Comedy|Crime,462519,2.5,1
48596,"Marine, The",2006,Action|Drama|Thriller,419946,2.75,2
48738,"Last King of Scotland, The",2006,Drama|Thriller,455590,3.975,20
48872,13 Tzameti,2005,Film-Noir|Thriller,475169,4.5,1
48879,Catch a Fire,2006,Drama|Thriller,437232,3.25,2
49272,Casino Royale,2006,Action|Adventure|Thriller,381061,3.94444,81
189547,Iron Soldier,2010,Action|Sci-Fi,1665744,1,1